POLICY_CLAIM_NUMBER	POLICY_EFF_DT	INSURANCE_TYPE	CLAIM_STATUS	ANY_INJURY	POLICE_REPORT_AVAILABLE	INCIDENT_HOUR_OF_THE_DAY
PLC00005283	6/29/2011	Property	A	1	1	9
PLC00002737	4/1/2015	Travel	A	1	0	19
PLC00009114	7/2/2010	Motor	A	1	1	7
PLC00001839	11/18/2019	Property	A	1	1	14
PLC00007965	6/25/2019	Mobile	A	1	1	21
PLC00003361	8/30/2019	Travel	A	1	0	11
PLC00000652	8/27/2010	Property	A	1	0	15
PLC00001585	7/19/2018	Property	A	0	1	21
PLC00003400	5/21/2017	Property	A	1	1	20
PLC00000459	10/27/2014	Property	A	1	1	22
PLC00004134	9/10/2015	Travel	D	0	0	12
PLC00006979	2/17/2011	Life	A	1	1	13
PLC00000241	3/25/2018	Travel	A	1	0	5
PLC00004191	11/3/2014	Mobile	A	1	1	10
PLC00008450	2/9/2011	Health	A	0	0	7
PLC00008734	9/23/2019	Mobile	A	1	1	9
PLC00000010	1/30/2019	Mobile	A	1	0	1
PLC00009039	1/9/2013	Travel	A	0	1	5
PLC00008900	6/24/2015	Life	A	0	1	3
PLC00009501	10/14/2016	Mobile	A	0	1	9
PLC00009466	10/29/2018	Life	A	1	0	17
PLC00001505	8/15/2014	Life	A	1	1	19
PLC00006719	7/9/2011	Life	A	1	1	5
PLC00005127	6/5/2017	Life	A	1	0	17
PLC00004274	8/26/2013	Motor	A	1	1	15
PLC00000742	7/28/2018	Travel	A	1	0	4
PLC00003666	11/5/2011	Life	A	1	0	21
PLC00003125	11/12/2013	Travel	A	0	0	10
PLC00000069	2/5/2016	Life	A	0	1	10
PLC00003987	6/1/2017	Mobile	A	0	0	13
PLC00000988	11/25/2016	Motor	A	1	1	0
PLC00005994	7/13/2014	Motor	A	0	1	9
PLC00009746	8/29/2011	Life	A	1	0	16
PLC00005185	1/31/2011	Motor	A	0	1	4
PLC00001608	4/25/2017	Health	A	0	1	4
PLC00000932	8/7/2017	Health	A	1	1	9
PLC00006683	4/10/2017	Travel	A	0	1	22
PLC00006462	1/16/2019	Health	A	1	0	9
PLC00008821	6/5/2015	Health	A	1	1	7
PLC00001274	5/29/2016	Travel	A	1	1	10
PLC00004892	8/12/2017	Life	A	0	1	6
PLC00007252	7/1/2014	Motor	A	0	1	13
PLC00000801	7/31/2014	Life	A	0	0	8
PLC00000840	2/26/2017	Life	A	1	0	7
PLC00009832	10/27/2015	Mobile	A	1	1	10
PLC00001227	9/25/2014	Mobile	A	1	0	13
PLC00001199	1/15/2016	Property	A	1	1	10
PLC00009936	3/7/2019	Motor	A	0	1	23
PLC00002086	10/20/2016	Motor	A	1	1	8
PLC00009821	12/25/2012	Travel	A	1	0	7
PLC00008510	6/21/2012	Life	A	0	0	1
PLC00004764	5/14/2018	Life	A	1	1	5
PLC00005716	11/17/2011	Life	A	0	0	12
PLC00004335	2/13/2011	Property	A	1	0	11
PLC00009445	12/29/2012	Life	A	0	1	14
PLC00009597	11/30/2014	Travel	A	1	1	21
PLC00000246	4/6/2011	Mobile	A	0	0	5
PLC00005653	6/16/2019	Motor	A	1	1	0
PLC00008292	4/25/2017	Motor	A	0	1	12
PLC00001545	6/19/2018	Health	D	0	0	17
PLC00009583	11/17/2013	Travel	A	0	0	8
PLC00002578	11/17/2012	Mobile	A	1	1	20
PLC00009641	12/23/2019	Life	A	0	0	23
PLC00009191	12/9/2015	Property	A	1	0	5
PLC00002557	10/19/2014	Mobile	A	1	1	7
PLC00009110	9/30/2015	Travel	A	0	0	18
PLC00000808	3/20/2014	Life	D	0	1	12
PLC00002342	5/22/2016	Mobile	A	1	0	14
PLC00002564	5/5/2018	Property	D	1	1	18
PLC00004192	8/13/2017	Travel	A	0	1	13
PLC00003171	7/14/2011	Life	A	1	1	17
PLC00000497	8/10/2016	Life	A	1	0	5
PLC00005273	3/26/2013	Life	A	1	1	5
PLC00000862	11/13/2016	Motor	A	0	0	23
PLC00001327	1/19/2013	Property	A	1	1	10
PLC00006625	4/28/2015	Life	A	0	1	18
PLC00001203	12/19/2013	Mobile	A	0	1	18
PLC00002010	8/12/2011	Motor	A	1	1	9
PLC00008019	2/11/2019	Property	A	1	1	8
PLC00006756	8/12/2010	Travel	A	1	1	8
PLC00006934	3/25/2011	Travel	A	0	1	22
PLC00003036	9/8/2019	Travel	A	0	1	12
PLC00000244	8/7/2013	Motor	A	1	1	5
PLC00008394	5/12/2011	Mobile	A	0	1	23
PLC00006142	12/1/2019	Mobile	A	1	1	4
PLC00000553	7/5/2018	Health	A	1	1	7
PLC00005897	12/10/2019	Health	A	1	0	10
PLC00001559	4/30/2012	Property	A	1	1	2
PLC00007717	2/20/2015	Mobile	A	0	1	18
PLC00005190	6/9/2017	Mobile	A	1	0	10
PLC00006235	6/6/2016	Property	A	0	1	0
PLC00009625	9/30/2019	Mobile	A	1	0	16
PLC00006503	9/14/2017	Life	A	1	0	6
PLC00005199	8/15/2013	Property	A	1	1	21
PLC00006988	11/24/2014	Travel	A	1	0	11
PLC00004168	10/3/2016	Life	A	1	1	17
PLC00006133	6/22/2018	Property	A	0	1	19
PLC00008962	10/6/2011	Health	A	1	1	10
PLC00007387	10/20/2019	Mobile	A	1	1	3
PLC00004508	5/9/2013	Mobile	A	0	0	5
PLC00001741	11/23/2012	Motor	A	0	1	16
PLC00009169	5/10/2012	Health	A	1	1	16
PLC00005815	12/29/2018	Property	A	1	1	8
PLC00005527	7/4/2010	Property	A	1	0	22
PLC00005088	3/6/2017	Property	A	0	1	20
PLC00005923	7/7/2013	Health	A	1	1	9
PLC00007092	11/30/2011	Life	A	1	1	22
PLC00009483	8/31/2011	Health	D	1	0	19
PLC00001828	6/8/2017	Property	A	1	1	6
PLC00002887	2/19/2013	Property	A	0	1	14
PLC00007224	6/16/2013	Property	A	1	1	13
PLC00004862	12/23/2015	Motor	A	0	1	6
PLC00003346	6/25/2014	Mobile	A	1	0	10
PLC00006984	12/7/2017	Mobile	A	0	0	18
PLC00002245	2/17/2013	Mobile	A	0	1	18
PLC00005198	12/30/2013	Property	A	1	1	22
PLC00001151	5/13/2019	Health	A	1	0	13
PLC00008527	11/29/2019	Property	A	0	1	1
PLC00002727	7/27/2010	Mobile	A	1	1	0
PLC00002689	1/25/2012	Mobile	A	0	1	18
PLC00003892	4/1/2012	Life	A	1	1	2
PLC00002434	8/13/2013	Travel	A	0	1	15
PLC00007162	1/8/2013	Health	A	1	0	3
PLC00002044	4/15/2019	Travel	A	1	1	7
PLC00000273	9/22/2013	Travel	A	1	0	10
PLC00007991	1/26/2019	Motor	A	0	1	1
PLC00001525	8/19/2015	Mobile	D	1	1	6
PLC00002656	12/23/2019	Mobile	A	0	0	16
PLC00000917	8/31/2016	Life	A	1	1	12
PLC00002074	10/30/2015	Mobile	A	1	1	22
PLC00002699	9/8/2015	Health	A	0	0	20
PLC00004993	6/2/2016	Property	A	0	1	6
PLC00009388	5/13/2014	Property	D	1	0	21
PLC00009703	12/11/2016	Property	A	1	1	5
PLC00005113	8/8/2019	Mobile	A	1	0	15
PLC00008261	1/11/2020	Property	A	0	0	7
PLC00003037	11/17/2013	Mobile	A	1	1	14
PLC00008187	4/16/2013	Property	A	1	1	16
PLC00006530	7/10/2010	Travel	A	1	1	23
PLC00002851	9/11/2011	Property	A	1	1	20
PLC00006144	9/27/2014	Travel	A	1	1	20
PLC00003594	10/15/2011	Property	A	1	1	5
PLC00008346	10/1/2012	Health	A	0	1	6
PLC00009038	9/1/2012	Health	A	1	1	2
PLC00000068	7/26/2016	Property	A	0	1	11
PLC00009775	10/12/2012	Mobile	A	1	0	6
PLC00001002	1/19/2012	Travel	A	1	0	18
PLC00006571	2/18/2017	Travel	A	1	1	4
PLC00007886	2/5/2015	Life	A	1	0	17
PLC00009788	8/10/2014	Life	A	1	1	12
PLC00000413	4/1/2018	Mobile	A	1	0	20
PLC00008666	5/26/2014	Motor	A	1	0	6
PLC00007673	8/24/2013	Health	A	1	1	4
PLC00001314	9/2/2016	Travel	A	1	1	20
PLC00005951	6/9/2014	Travel	A	1	1	17
PLC00006419	3/9/2013	Motor	A	1	0	10
PLC00008115	5/16/2016	Travel	A	1	1	7
PLC00002346	6/27/2012	Life	A	0	1	4
PLC00005739	6/9/2015	Motor	A	0	0	11
PLC00000087	11/7/2012	Travel	A	1	1	23
PLC00005359	5/23/2011	Property	D	0	0	14
PLC00004505	11/13/2014	Property	A	1	0	18
PLC00001191	8/9/2019	Property	A	1	1	5
PLC00008492	7/1/2010	Life	D	1	1	5
PLC00005251	4/16/2014	Property	A	1	1	15
PLC00009885	7/30/2011	Life	D	1	0	20
PLC00002509	3/5/2013	Health	A	1	0	2
PLC00007264	1/8/2011	Property	A	0	1	16
PLC00001490	8/9/2011	Health	A	1	0	10
PLC00000968	9/8/2019	Travel	A	1	1	15
PLC00009204	9/20/2019	Mobile	A	1	1	2
PLC00009464	3/14/2014	Health	A	1	1	3
PLC00001068	2/9/2017	Property	A	0	1	1
PLC00006904	9/18/2018	Life	D	1	1	15
PLC00003394	7/1/2018	Property	A	1	1	6
PLC00008203	2/4/2019	Motor	A	1	1	7
PLC00006188	5/5/2015	Travel	D	0	1	16
PLC00001622	6/26/2018	Property	A	1	1	15
PLC00007452	12/14/2011	Health	A	1	1	8
PLC00006739	6/5/2017	Motor	A	0	1	15
PLC00008431	4/22/2011	Health	A	0	1	19
PLC00000219	9/16/2019	Property	A	0	1	1
PLC00003712	1/14/2013	Mobile	A	1	0	11
PLC00002832	11/26/2019	Property	A	0	1	7
PLC00003833	6/26/2014	Property	A	1	1	20
PLC00009179	8/11/2014	Life	A	1	1	16
PLC00006757	10/6/2015	Travel	A	0	1	17
PLC00005825	6/17/2017	Mobile	A	1	1	7
PLC00005490	11/15/2013	Life	A	1	1	8
PLC00008085	1/25/2012	Travel	A	1	1	0
PLC00006088	12/18/2016	Property	A	0	1	13
PLC00000893	3/3/2015	Mobile	A	1	0	8
PLC00009585	1/18/2020	Motor	A	0	1	7
PLC00009512	5/26/2012	Motor	A	1	1	0
PLC00008175	1/27/2020	Mobile	A	1	1	19
PLC00005168	8/12/2018	Health	A	1	1	14
PLC00002319	8/29/2018	Mobile	A	0	1	6
PLC00002914	2/8/2014	Motor	D	0	1	2
PLC00003526	12/18/2017	Travel	A	1	1	6
PLC00006537	9/28/2018	Motor	A	0	1	10
PLC00003619	2/2/2019	Motor	A	1	1	23
PLC00004283	2/7/2011	Life	A	1	1	6
PLC00001855	10/10/2019	Travel	A	0	0	10
PLC00008557	2/15/2014	Life	A	0	1	13
PLC00001961	5/12/2016	Motor	A	1	1	18
PLC00003474	1/23/2013	Mobile	A	1	0	11
PLC00006148	11/27/2014	Motor	D	0	1	6
PLC00001521	6/23/2018	Life	A	1	1	16
PLC00005071	1/22/2014	Motor	A	1	1	1
PLC00000813	8/3/2019	Travel	A	1	1	19
PLC00003287	10/22/2016	Mobile	A	1	0	23
PLC00002386	11/28/2014	Health	A	1	0	19
PLC00003511	8/11/2014	Motor	A	1	0	1
PLC00007817	11/30/2014	Travel	A	1	0	1
PLC00007756	6/27/2018	Travel	A	1	0	12
PLC00009590	1/13/2019	Travel	A	0	1	1
PLC00009303	10/1/2019	Life	A	1	0	5
PLC00003751	11/14/2013	Health	A	1	0	20
PLC00008361	12/26/2014	Property	A	1	0	12
PLC00008826	8/21/2012	Health	A	1	1	23
PLC00004868	3/9/2019	Mobile	A	1	1	6
PLC00009064	12/25/2018	Property	A	0	1	6
PLC00001572	7/24/2018	Health	A	1	1	10
PLC00003563	7/26/2017	Mobile	A	1	1	6
PLC00003485	6/19/2012	Property	A	1	1	12
PLC00001308	12/6/2011	Mobile	A	1	1	14
PLC00002849	8/29/2017	Motor	A	0	1	3
PLC00003949	12/29/2011	Mobile	A	1	0	6
PLC00000973	8/30/2014	Health	A	0	0	19
PLC00007090	7/17/2012	Health	D	0	1	6
PLC00007234	6/17/2011	Property	A	1	1	10
PLC00007005	3/22/2012	Motor	A	1	0	5
PLC00003257	8/8/2017	Life	A	0	0	12
PLC00000935	12/27/2017	Property	A	0	1	1
PLC00002080	8/17/2013	Mobile	A	1	0	15
PLC00001319	3/14/2012	Property	A	1	0	10
PLC00003040	7/1/2019	Life	A	0	0	11
PLC00009193	11/9/2010	Life	A	0	1	8
PLC00007551	12/30/2015	Property	A	1	1	1
PLC00003529	12/12/2013	Property	A	1	1	0
PLC00003476	1/2/2012	Property	A	1	1	6
PLC00005987	10/4/2018	Life	A	0	1	12
PLC00005047	7/4/2016	Life	A	1	0	19
PLC00009145	9/19/2012	Travel	A	1	0	13
PLC00005814	10/15/2015	Mobile	A	1	1	4
PLC00007834	10/15/2013	Health	D	0	0	10
PLC00008345	11/29/2014	Property	A	0	1	8
PLC00007621	2/12/2017	Property	A	1	1	5
PLC00004217	10/6/2011	Property	A	0	1	15
PLC00009297	8/5/2015	Motor	A	0	0	0
PLC00004012	10/9/2013	Health	A	1	1	22
PLC00009762	2/7/2012	Motor	A	0	1	22
PLC00000517	11/28/2014	Motor	D	0	1	3
PLC00006914	2/28/2018	Property	A	0	0	18
PLC00003414	2/21/2018	Health	A	1	1	15
PLC00001784	11/9/2016	Motor	A	1	0	12
PLC00002326	2/28/2018	Health	A	0	1	9
PLC00004660	5/7/2011	Travel	A	1	0	1
PLC00006168	12/3/2013	Travel	D	1	0	9
PLC00006538	2/18/2016	Mobile	A	1	0	9
PLC00001947	12/30/2018	Life	A	1	1	16
PLC00002541	7/19/2011	Property	A	1	1	0
PLC00003897	5/9/2019	Motor	A	1	1	19
PLC00004585	10/19/2015	Health	A	0	1	23
PLC00004631	2/18/2015	Health	A	1	1	6
PLC00004097	2/13/2012	Health	A	1	0	3
PLC00006819	12/18/2018	Motor	A	0	0	8
PLC00009888	2/19/2013	Motor	A	1	0	20
PLC00006374	1/15/2012	Property	A	1	1	20
PLC00005447	12/5/2016	Motor	A	0	0	1
PLC00006394	2/10/2012	Motor	A	0	0	12
PLC00005316	3/15/2012	Property	A	1	1	1
PLC00006459	7/9/2011	Travel	A	0	0	1
PLC00003379	7/7/2019	Life	A	1	0	11
PLC00005025	9/25/2015	Health	A	1	1	10
PLC00000004	1/7/2014	Property	A	0	0	23
PLC00004011	7/5/2013	Health	A	0	1	16
PLC00008464	3/6/2014	Mobile	A	0	1	17
PLC00006501	8/6/2017	Property	A	1	1	6
PLC00007958	10/27/2012	Property	A	1	1	23
PLC00004596	12/27/2014	Property	A	1	1	23
PLC00005571	12/31/2014	Motor	A	1	0	23
PLC00008971	5/23/2017	Property	A	1	1	20
PLC00002340	10/15/2018	Travel	A	1	1	6
PLC00003956	7/4/2017	Travel	A	0	1	16
PLC00003498	6/14/2011	Health	A	1	1	14
PLC00002138	2/17/2011	Life	A	1	1	19
PLC00007889	10/30/2010	Motor	A	1	0	14
PLC00000086	5/25/2013	Health	A	0	1	4
PLC00004355	11/22/2013	Motor	A	1	0	11
PLC00001815	12/7/2011	Motor	A	0	1	12
PLC00001538	4/1/2013	Health	A	1	0	15
PLC00007857	12/2/2019	Mobile	A	1	0	17
PLC00008517	12/16/2010	Motor	A	0	1	6
PLC00003715	12/9/2012	Health	A	1	1	6
PLC00002744	7/25/2014	Travel	A	1	1	2
PLC00001748	10/6/2015	Mobile	A	1	1	4
PLC00006860	8/14/2015	Property	A	1	0	6
PLC00007826	5/6/2016	Property	D	1	0	15
PLC00009294	6/26/2017	Property	D	1	0	18
PLC00006117	6/13/2017	Motor	A	1	1	21
PLC00004361	5/17/2013	Travel	A	0	1	10
PLC00007681	4/1/2015	Mobile	A	1	0	3
PLC00009918	3/16/2013	Travel	A	1	1	2
PLC00004418	5/4/2016	Motor	A	1	1	9
PLC00003975	11/26/2012	Motor	A	1	1	5
PLC00002970	1/30/2015	Health	A	0	1	6
PLC00009137	8/5/2010	Mobile	A	1	1	0
PLC00006086	7/7/2013	Motor	A	1	0	11
PLC00002268	3/14/2017	Travel	A	1	1	15
PLC00004836	10/21/2014	Mobile	A	1	1	14
PLC00006346	6/8/2018	Property	A	1	1	13
PLC00007959	8/15/2012	Motor	A	1	1	9
PLC00001634	5/15/2019	Mobile	A	0	1	5
PLC00008579	6/8/2016	Mobile	A	1	0	6
PLC00005842	11/1/2014	Motor	A	0	1	6
PLC00004838	12/20/2012	Life	A	0	1	20
PLC00001045	6/11/2012	Health	A	1	0	17
PLC00008240	5/30/2013	Mobile	A	0	1	19
PLC00003482	8/16/2010	Mobile	A	0	0	23
PLC00001899	6/3/2015	Mobile	A	0	1	12
PLC00003604	6/24/2018	Property	A	0	0	22
PLC00005411	7/17/2014	Motor	A	1	1	1
PLC00009834	3/15/2014	Health	A	1	1	15
PLC00001795	8/20/2013	Health	A	1	1	23
PLC00008044	2/6/2017	Travel	A	0	1	1
PLC00006592	11/9/2012	Mobile	A	1	0	19
PLC00000587	2/10/2017	Property	A	0	1	16
PLC00006879	4/30/2013	Mobile	A	1	1	16
PLC00003674	8/20/2017	Health	A	1	1	8
PLC00001109	3/24/2015	Health	A	1	1	7
PLC00008165	12/27/2017	Life	A	1	1	17
PLC00000665	8/30/2018	Property	A	0	1	3
PLC00003092	12/8/2011	Health	A	0	1	12
PLC00006215	9/11/2019	Travel	A	0	1	12
PLC00001083	3/28/2019	Motor	A	1	0	9
PLC00004772	4/9/2019	Mobile	A	1	1	18
PLC00006287	9/24/2011	Life	A	1	1	11
PLC00000881	2/13/2012	Property	A	1	0	6
PLC00001674	9/26/2015	Motor	A	1	1	15
PLC00007687	7/30/2017	Travel	A	0	1	10
PLC00003984	3/20/2019	Life	A	1	0	4
PLC00002947	5/11/2015	Motor	A	1	0	14
PLC00007629	5/3/2015	Health	A	1	0	9
PLC00006570	12/15/2019	Life	A	0	1	21
PLC00002702	6/19/2014	Life	A	0	1	3
PLC00001375	3/20/2015	Property	A	1	0	15
PLC00009307	7/2/2014	Mobile	A	0	1	10
PLC00007277	11/22/2015	Mobile	A	1	1	16
PLC00000361	4/5/2017	Life	D	0	1	9
PLC00007156	7/26/2017	Mobile	A	0	1	17
PLC00006307	5/28/2017	Health	A	1	1	22
PLC00008349	4/7/2015	Property	A	1	1	7
PLC00000374	5/16/2019	Property	A	0	0	2
PLC00001529	10/9/2010	Mobile	A	1	0	4
PLC00002731	8/10/2012	Mobile	A	0	1	6
PLC00005893	9/13/2010	Motor	A	0	1	11
PLC00004171	2/24/2013	Mobile	A	0	1	11
PLC00004388	11/12/2013	Mobile	A	1	0	10
PLC00006559	12/26/2012	Health	A	0	0	13
PLC00006226	11/16/2019	Motor	A	1	1	17
PLC00002890	9/18/2017	Travel	A	1	1	22
PLC00003038	5/2/2016	Mobile	A	1	1	3
PLC00003109	10/7/2011	Travel	A	0	1	15
PLC00007279	2/8/2014	Life	A	1	0	16
PLC00009482	9/5/2012	Motor	A	0	1	20
PLC00000836	6/10/2018	Health	D	1	1	16
PLC00005177	6/12/2013	Mobile	A	1	1	12
PLC00005772	3/22/2011	Life	A	1	0	5
PLC00005682	8/29/2019	Property	A	1	1	4
PLC00007172	9/21/2019	Life	A	1	1	8
PLC00005491	9/19/2017	Motor	A	1	1	19
PLC00004915	11/26/2011	Travel	A	1	0	12
PLC00001128	7/24/2013	Property	A	1	0	15
PLC00009822	1/26/2019	Travel	A	1	1	14
PLC00007581	1/8/2020	Life	A	0	1	23
PLC00000638	12/11/2011	Travel	A	1	0	9
PLC00002932	6/5/2019	Mobile	A	0	0	5
PLC00002252	11/18/2017	Travel	A	0	0	7
PLC00000539	12/23/2010	Health	A	0	1	5
PLC00009030	7/2/2014	Motor	A	1	1	17
PLC00008402	1/14/2014	Life	A	1	1	1
PLC00008934	6/5/2019	Property	A	0	0	19
PLC00005907	9/28/2017	Travel	A	1	1	4
PLC00004459	10/31/2013	Health	A	1	1	6
PLC00003830	10/25/2016	Mobile	A	0	1	9
PLC00007222	8/4/2016	Life	A	0	1	10
PLC00009457	11/26/2012	Property	A	0	1	15
PLC00000700	3/26/2019	Motor	A	1	0	9
PLC00003301	4/21/2015	Life	A	1	0	7
PLC00000450	7/23/2016	Health	D	1	1	22
PLC00008314	10/15/2018	Health	A	0	1	10
PLC00002046	4/18/2012	Health	A	1	0	21
PLC00007858	7/16/2016	Mobile	A	1	1	2
PLC00007881	10/27/2015	Travel	A	0	1	2
PLC00007945	7/31/2012	Travel	A	1	1	5
PLC00005728	11/25/2017	Life	A	1	1	8
PLC00002749	12/7/2015	Motor	D	0	0	5
PLC00008343	7/31/2016	Health	A	1	0	2
PLC00000104	11/11/2011	Mobile	A	0	1	10
PLC00006121	11/30/2019	Travel	A	0	1	8
PLC00004347	6/10/2012	Motor	A	1	1	20
PLC00008721	9/7/2017	Health	A	0	1	5
PLC00009616	5/26/2019	Health	D	0	1	12
PLC00003484	12/8/2012	Property	A	0	1	10
PLC00005943	7/4/2017	Life	A	0	1	15
PLC00004978	9/30/2011	Life	A	0	1	0
PLC00003794	6/7/2014	Travel	A	1	0	16
PLC00009619	1/14/2018	Motor	A	1	1	9
PLC00008533	9/7/2016	Mobile	A	1	1	0
PLC00008787	9/16/2017	Health	A	1	1	0
PLC00003213	7/1/2018	Travel	A	1	1	2
PLC00000664	3/29/2011	Property	A	0	0	21
PLC00000172	8/10/2014	Motor	A	1	1	22
PLC00004799	9/20/2015	Motor	A	1	1	12
PLC00008848	2/10/2019	Travel	A	1	1	23
PLC00004533	8/11/2011	Property	A	0	1	23
PLC00007554	2/20/2016	Motor	A	1	0	14
PLC00008324	9/4/2016	Travel	A	1	1	6
PLC00007069	6/25/2017	Life	A	0	1	5
PLC00003783	3/2/2019	Life	A	1	1	13
PLC00009926	8/27/2011	Motor	A	1	1	2
PLC00004774	9/12/2010	Motor	A	1	1	15
PLC00002320	1/26/2015	Motor	A	1	1	13
PLC00009140	9/26/2013	Motor	A	1	0	1
PLC00002753	2/14/2016	Travel	A	1	1	8
PLC00009968	5/11/2012	Property	A	1	1	20
PLC00006110	11/14/2011	Life	A	1	1	6
PLC00001478	5/28/2018	Life	A	1	1	8
PLC00005766	12/24/2014	Motor	A	0	1	4
PLC00004330	12/28/2017	Mobile	A	1	0	12
PLC00006143	12/16/2012	Mobile	A	1	1	10
PLC00005726	12/19/2015	Mobile	A	0	1	14
PLC00008088	7/28/2018	Property	A	1	1	4
PLC00007109	12/15/2011	Motor	D	0	0	5
PLC00004751	10/14/2010	Motor	A	0	1	23
PLC00003596	12/16/2018	Health	A	1	0	2
PLC00003135	4/11/2011	Mobile	A	1	0	21
PLC00001253	6/17/2019	Property	A	1	0	17
PLC00003322	3/12/2015	Mobile	A	1	1	1
PLC00009154	4/30/2018	Life	A	1	1	16
PLC00000715	3/3/2019	Property	A	1	1	8
PLC00002085	12/16/2010	Mobile	A	1	0	15
PLC00006280	12/10/2014	Motor	D	1	1	14
PLC00009226	8/9/2015	Property	A	0	1	16
PLC00008166	9/29/2017	Life	A	1	1	6
PLC00006895	2/14/2012	Motor	A	1	0	7
PLC00003893	3/13/2013	Life	A	1	0	19
PLC00001998	11/26/2015	Property	A	1	1	6
PLC00003091	6/3/2015	Property	A	1	1	5
PLC00007822	2/3/2011	Health	A	1	1	6
PLC00006637	4/24/2011	Life	A	0	0	10
PLC00000042	3/23/2012	Mobile	A	1	1	8
PLC00008383	11/11/2019	Mobile	A	1	1	1
PLC00000500	9/26/2011	Motor	A	1	1	19
PLC00002602	3/23/2019	Mobile	A	0	0	17
PLC00003069	12/4/2012	Travel	A	1	0	10
PLC00000076	11/11/2011	Motor	A	1	1	4
PLC00001751	7/17/2013	Travel	A	1	1	22
PLC00008015	4/18/2019	Travel	A	0	1	13
PLC00001999	3/24/2017	Travel	A	1	1	12
PLC00004512	9/10/2013	Mobile	A	0	1	20
PLC00008414	9/3/2019	Health	A	1	1	10
PLC00009958	7/9/2014	Life	D	1	0	5
PLC00006435	2/16/2019	Health	A	1	0	7
PLC00004627	4/15/2017	Mobile	A	1	1	12
PLC00002834	7/19/2016	Mobile	A	0	1	9
PLC00007278	1/18/2017	Motor	A	1	1	3
PLC00006196	7/21/2011	Property	A	0	1	2
PLC00001405	6/15/2015	Health	A	1	0	23
PLC00005355	10/31/2019	Health	A	0	1	6
PLC00004150	11/20/2013	Property	A	1	1	1
PLC00002847	4/2/2014	Travel	A	1	0	20
PLC00004698	8/27/2012	Motor	A	1	1	18
PLC00005023	6/23/2011	Mobile	A	1	0	1
PLC00006576	1/3/2011	Health	A	1	1	23
PLC00004078	9/4/2013	Travel	A	1	0	17
PLC00001044	11/18/2018	Life	A	1	1	13
PLC00000951	3/2/2018	Mobile	A	1	1	16
PLC00008670	8/29/2010	Property	A	0	1	16
PLC00003842	3/4/2012	Mobile	A	1	1	13
PLC00000928	5/17/2013	Property	A	1	0	13
PLC00004240	11/1/2017	Property	A	1	1	8
