fact_table_natural_key,accm_txn_complete_time
TXN00000117,2022-05-08 11:48:55
TXN00000118,2022-05-08 10:50:02
TXN00000119,2022-05-08 18:07:18
TXN00000120,2022-05-08 19:28:34
TXN00000121,2022-05-08 05:53:31
TXN00000122,2022-05-08 22:25:40
TXN00000123,2022-05-08 04:52:44
TXN00000124,2022-05-08 09:37:30
TXN00000125,2022-05-08 08:18:38
TXN00000126,2022-05-08 14:04:59
TXN00000127,2022-05-08 04:57:18
TXN00000128,2022-05-08 17:47:51
TXN00000129,2022-05-08 04:34:47
TXN00000130,2022-05-08 08:10:03
TXN00000131,2022-05-08 22:21:26
TXN00000132,2022-05-08 05:42:57
TXN00000133,2022-05-08 04:19:29
TXN00000134,2022-05-08 15:39:37
TXN00000135,2022-05-08 22:37:08
TXN00000136,2022-05-08 04:49:37
TXN00000137,2022-05-08 04:40:12
TXN00000138,2022-05-08 10:52:22
TXN00000139,2022-05-08 03:59:57
TXN00000140,2022-05-08 15:51:31
TXN00000141,2022-05-08 14:38:42
TXN00000142,2022-05-08 09:31:57
TXN00000143,2022-05-08 22:56:17
TXN00000144,2022-05-08 01:31:37
TXN00000145,2022-05-08 12:57:29
TXN00000146,2022-05-08 07:35:50
TXN00000147,2022-05-08 20:27:46
TXN00000148,2022-05-08 03:09:24
TXN00000149,2022-05-08 06:19:36
TXN00000150,2022-05-08 19:32:07
TXN00000151,2022-05-08 16:21:30
TXN00000152,2022-05-08 11:23:46
TXN00000153,2022-05-08 20:10:15
TXN00000154,2022-05-08 06:21:20
TXN00000155,2022-05-08 19:08:32
TXN00000156,2022-05-08 15:48:09
TXN00000157,2022-05-08 14:35:25
TXN00000158,2022-05-08 19:38:43
TXN00000159,2022-05-08 10:21:50
TXN00000160,2022-05-08 00:41:00
TXN00000161,2022-05-08 12:05:41
TXN00000162,2022-05-08 08:44:58
TXN00000163,2022-05-08 08:22:53
TXN00000164,2022-05-08 04:24:12
TXN00000165,2022-05-08 16:09:41
TXN00000166,2022-05-08 07:17:34
TXN00000167,2022-05-08 07:24:10
TXN00000168,2022-05-08 14:57:26
TXN00000169,2022-05-08 02:26:27
TXN00000170,2022-05-08 13:29:53
TXN00000171,2022-05-08 06:17:12
TXN00000172,2022-05-08 14:09:50
TXN00000173,2022-05-08 23:13:50
TXN00000174,2022-05-08 13:21:43
TXN00000175,2022-05-08 23:32:41
TXN00000176,2022-05-08 08:55:56
TXN00000177,2022-05-08 15:12:14
TXN00000178,2022-05-08 06:38:45
TXN00000179,2022-05-08 00:35:23
TXN00000180,2022-05-08 23:10:45
TXN00000181,2022-05-08 07:17:58
TXN00000182,2022-05-08 04:16:14
TXN00000183,2022-05-08 01:09:40
TXN00000184,2022-05-08 22:18:37
TXN00000185,2022-05-08 06:24:15
TXN00000186,2022-05-08 12:31:05
TXN00000187,2022-05-08 12:05:30
TXN00000188,2022-05-08 22:30:32
TXN00000189,2022-05-08 08:05:57
TXN00000190,2022-05-08 14:09:04
TXN00000191,2022-05-08 10:06:21
TXN00000192,2022-05-08 11:33:36
TXN00000193,2022-05-08 11:42:52
TXN00000194,2022-05-08 20:24:50
TXN00000195,2022-05-08 11:20:38
TXN00000196,2022-05-08 02:37:16
TXN00000197,2022-05-08 09:25:06
TXN00000198,2022-05-08 20:24:57
TXN00000199,2022-05-08 15:29:19
TXN00000200,2022-05-08 01:34:24
TXN00000201,2022-05-08 09:57:49
TXN00000202,2022-05-08 23:20:24
TXN00000203,2022-05-08 21:52:36
TXN00000204,2022-05-08 13:30:21
TXN00000205,2022-05-08 15:05:11
TXN00000206,2022-05-08 00:43:16
TXN00000207,2022-05-08 19:02:35
TXN00000208,2022-05-08 20:35:35
TXN00000209,2022-05-08 10:52:40
TXN00000210,2022-05-08 15:30:28
TXN00000211,2022-05-08 04:20:00
TXN00000212,2022-05-08 15:00:07
TXN00000213,2022-05-08 14:19:47
TXN00000214,2022-05-08 20:38:15
TXN00000215,2022-05-08 03:35:07
TXN00000216,2022-05-08 08:43:45
TXN00000217,2022-05-08 10:51:52
TXN00000218,2022-05-08 15:05:48
TXN00000219,2022-05-08 21:56:46
TXN00000220,2022-05-08 23:04:07
TXN00000221,2022-05-08 20:09:06
TXN00000222,2022-05-08 12:53:06
TXN00000223,2022-05-08 14:18:56
TXN00000224,2022-05-08 07:01:21
TXN00000225,2022-05-08 01:43:29
TXN00000226,2022-05-08 13:29:09
TXN00000227,2022-05-08 04:55:14
TXN00000228,2022-05-08 13:17:53
TXN00000229,2022-05-08 09:50:16
TXN00000230,2022-05-08 00:50:57
TXN00000231,2022-05-08 15:55:58
TXN00000232,2022-05-08 09:43:22
TXN00000233,2022-05-08 01:57:11
TXN00000234,2022-05-08 02:30:44
TXN00000235,2022-05-08 02:45:15
TXN00000236,2022-05-08 00:50:29
TXN00000237,2022-05-08 18:04:23
TXN00000238,2022-05-08 04:01:32
TXN00000239,2022-05-08 10:04:33
TXN00000240,2022-05-08 03:46:56
TXN00000241,2022-05-08 23:13:54
TXN00000242,2022-05-08 23:54:22
TXN00000243,2022-05-08 16:43:32
TXN00000244,2022-05-08 11:55:36
TXN00000245,2022-05-08 03:49:02
TXN00000246,2022-05-08 11:52:05
TXN00000247,2022-05-08 03:53:07
TXN00000248,2022-05-08 04:32:56
TXN00000249,2022-05-08 16:51:06
TXN00000250,2022-05-08 23:19:41
TXN00000251,2022-05-08 20:11:36
TXN00000252,2022-05-08 12:55:54
TXN00000253,2022-05-08 11:38:21
TXN00000254,2022-05-08 04:37:53
TXN00000255,2022-05-08 07:17:50
TXN00000256,2022-05-08 10:34:07
TXN00000257,2022-05-08 18:27:55
TXN00000258,2022-05-08 07:18:47
TXN00000259,2022-05-08 21:27:39
TXN00000260,2022-05-08 20:32:48
TXN00000261,2022-05-08 14:54:56
TXN00000262,2022-05-08 04:08:16
TXN00000263,2022-05-08 05:20:00
TXN00000264,2022-05-08 10:40:25
TXN00000265,2022-05-08 19:23:07
TXN00000266,2022-05-08 12:17:54
TXN00000267,2022-05-08 12:38:19
TXN00000268,2022-05-08 05:39:48
TXN00000269,2022-05-08 23:36:55
TXN00000270,2022-05-08 03:16:41
TXN00000271,2022-05-08 18:51:23
TXN00000272,2022-05-08 14:40:11
TXN00000273,2022-05-08 18:12:00
TXN00000274,2022-05-08 04:38:23
TXN00000275,2022-05-08 19:59:39
TXN00000276,2022-05-08 04:58:17
TXN00000277,2022-05-08 21:56:08
TXN00000278,2022-05-08 12:49:02
TXN00000279,2022-05-08 09:26:26
TXN00000280,2022-05-08 06:16:30
TXN00000281,2022-05-08 20:41:00
TXN00000282,2022-05-08 12:15:00
TXN00000283,2022-05-08 15:36:57
TXN00000284,2022-05-08 05:35:35
TXN00000285,2022-05-08 02:47:40
TXN00000286,2022-05-08 01:09:51
TXN00000287,2022-05-08 01:41:22
TXN00000288,2022-05-08 20:06:20
TXN00000289,2022-05-08 19:43:20
TXN00000290,2022-05-08 18:44:12
TXN00000291,2022-05-08 15:10:22
TXN00000292,2022-05-08 22:43:41
TXN00000293,2022-05-08 01:37:19
TXN00000294,2022-05-08 16:57:04
TXN00000295,2022-05-08 00:13:45
TXN00000296,2022-05-08 11:34:29
TXN00000297,2022-05-08 23:06:09
TXN00000298,2022-05-08 11:02:40
TXN00000299,2022-05-08 07:31:42
TXN00000300,2022-05-08 03:28:06
TXN00000301,2022-05-08 19:48:58
TXN00000302,2022-05-08 12:52:41
TXN00000303,2022-05-08 10:24:52
TXN00000304,2022-05-08 19:45:02
TXN00000305,2022-05-08 00:59:53
TXN00000306,2022-05-08 11:02:43
TXN00000307,2022-05-08 22:37:00
TXN00000308,2022-05-08 03:07:48
TXN00000309,2022-05-08 22:05:44
TXN00000310,2022-05-08 08:53:35
TXN00000311,2022-05-08 15:10:47
TXN00000312,2022-05-08 11:18:38
TXN00000313,2022-05-08 21:30:56
TXN00000314,2022-05-08 09:55:24
TXN00000315,2022-05-08 01:13:16
TXN00000316,2022-05-08 06:45:10
TXN00000317,2022-05-08 14:39:14
TXN00000318,2022-05-08 20:38:52
TXN00000319,2022-05-08 14:46:49
TXN00000320,2022-05-08 17:43:37
TXN00000321,2022-05-08 10:46:55
TXN00000322,2022-05-08 06:43:14
TXN00000323,2022-05-08 14:21:03
TXN00000324,2022-05-08 17:16:08
TXN00000325,2022-05-08 05:27:38
TXN00000326,2022-05-08 12:21:14
TXN00000327,2022-05-08 16:47:03
TXN00000328,2022-05-08 19:29:48
TXN00000329,2022-05-08 02:52:04
TXN00000330,2022-05-08 01:21:40
TXN00000331,2022-05-08 03:05:18
TXN00000332,2022-05-08 18:00:04
TXN00000333,2022-05-08 06:56:46
TXN00000334,2022-05-08 21:07:52
TXN00000335,2022-05-08 15:09:05
TXN00000336,2022-05-08 20:06:59
TXN00000337,2022-05-08 17:25:24
TXN00000338,2022-05-08 23:16:16
TXN00000339,2022-05-08 02:20:16
TXN00000340,2022-05-08 07:18:43
TXN00000341,2022-05-08 08:45:25
TXN00000342,2022-05-08 09:58:39
TXN00000343,2022-05-08 12:48:43
TXN00000344,2022-05-08 22:35:20
TXN00000345,2022-05-08 22:42:59
TXN00000346,2022-05-08 08:48:16
TXN00000347,2022-05-08 03:36:44
TXN00000348,2022-05-08 13:17:59
TXN00000349,2022-05-08 15:41:53
TXN00000350,2022-05-08 12:44:41
TXN00000351,2022-05-08 01:52:12
TXN00000352,2022-05-08 03:09:16
TXN00000353,2022-05-08 07:18:56
TXN00000354,2022-05-08 19:54:32
TXN00000355,2022-05-08 12:10:46
TXN00000356,2022-05-08 14:42:36
TXN00000357,2022-05-08 08:50:06
TXN00000358,2022-05-08 06:40:20
TXN00000359,2022-05-08 05:16:53
TXN00000360,2022-05-08 18:17:46
TXN00000361,2022-05-08 17:20:28
TXN00000362,2022-05-08 20:28:06
TXN00000363,2022-05-08 20:34:21
TXN00000364,2022-05-08 00:02:00
TXN00000365,2022-05-08 18:10:46
TXN00000366,2022-05-08 20:06:29
TXN00000367,2022-05-08 07:52:39
TXN00000368,2022-05-08 13:03:35
TXN00000369,2022-05-08 00:11:20
TXN00000370,2022-05-08 01:33:32
TXN00000371,2022-05-08 04:28:31
TXN00000372,2022-05-08 09:43:20
TXN00000373,2022-05-08 12:44:10
TXN00000374,2022-05-08 07:28:16
TXN00000375,2022-05-08 02:38:57
TXN00000376,2022-05-08 23:02:09
TXN00000377,2022-05-08 22:13:32
TXN00000378,2022-05-08 03:52:28
TXN00000379,2022-05-08 16:06:29
TXN00000380,2022-05-08 10:08:20
TXN00000381,2022-05-08 17:36:23
TXN00000382,2022-05-08 11:09:45
TXN00000383,2022-05-08 15:45:50
TXN00000384,2022-05-08 10:31:00
TXN00000385,2022-05-08 23:19:52
TXN00000386,2022-05-08 07:38:26
TXN00000387,2022-05-08 01:34:53
TXN00000388,2022-05-08 07:40:16
TXN00000389,2022-05-08 04:34:41
TXN00000390,2022-05-08 17:04:15
TXN00000391,2022-05-08 07:54:39
TXN00000392,2022-05-08 14:00:26
TXN00000393,2022-05-08 06:10:06
TXN00000394,2022-05-08 11:04:24
TXN00000395,2022-05-08 13:25:25
TXN00000396,2022-05-08 00:05:07
TXN00000397,2022-05-08 19:22:11
TXN00000398,2022-05-08 06:06:42
TXN00000399,2022-05-08 10:05:40
TXN00000400,2022-05-08 14:43:34
TXN00000401,2022-05-08 18:04:40
TXN00000402,2022-05-08 11:24:26
TXN00000403,2022-05-08 03:08:16
TXN00000404,2022-05-08 17:36:15
TXN00000405,2022-05-08 01:51:51
TXN00000406,2022-05-08 19:02:57
TXN00000407,2022-05-08 10:24:25
TXN00000408,2022-05-08 23:19:58
TXN00000409,2022-05-08 15:40:03
TXN00000410,2022-05-08 16:09:11
TXN00000411,2022-05-08 19:03:35
TXN00000412,2022-05-08 07:26:38
TXN00000413,2022-05-08 09:11:48
TXN00000414,2022-05-08 08:40:27
TXN00000415,2022-05-08 02:05:41
TXN00000416,2022-05-08 09:17:01
TXN00000417,2022-05-08 08:53:45
TXN00000418,2022-05-08 13:41:09
TXN00000419,2022-05-08 06:05:14
TXN00000420,2022-05-08 05:38:24
TXN00000421,2022-05-08 03:59:26
TXN00000422,2022-05-08 18:56:23
TXN00000423,2022-05-08 06:39:32
TXN00000424,2022-05-08 09:27:45
TXN00000425,2022-05-08 09:04:15
TXN00000426,2022-05-08 06:42:13
TXN00000427,2022-05-08 03:41:56
TXN00000428,2022-05-08 03:50:10
TXN00000429,2022-05-08 22:40:49
TXN00000430,2022-05-08 09:48:51
TXN00000431,2022-05-08 04:06:19
TXN00000432,2022-05-08 21:08:52
TXN00000433,2022-05-08 13:33:03
TXN00000434,2022-05-08 00:48:29
TXN00000435,2022-05-08 09:34:07
TXN00000436,2022-05-08 21:13:32
TXN00000437,2022-05-08 04:43:13
TXN00000438,2022-05-08 23:43:23
TXN00000439,2022-05-08 23:47:43
TXN00000440,2022-05-08 07:43:55
TXN00000441,2022-05-08 21:16:32
TXN00000442,2022-05-08 18:41:04
TXN00000443,2022-05-08 03:50:38
TXN00000444,2022-05-08 23:59:55
TXN00000445,2022-05-08 19:57:02
TXN00000446,2022-05-08 13:15:12
TXN00000447,2022-05-08 22:26:37
TXN00000448,2022-05-08 23:34:58
TXN00000449,2022-05-08 21:07:11
TXN00000450,2022-05-08 18:34:50
TXN00000451,2022-05-08 14:10:01
TXN00000452,2022-05-08 13:20:46
TXN00000453,2022-05-08 19:07:01
TXN00000454,2022-05-08 12:49:22
TXN00000455,2022-05-08 12:08:31
TXN00000456,2022-05-08 20:38:24
TXN00000457,2022-05-08 06:56:21
TXN00000458,2022-05-08 22:00:05
TXN00000459,2022-05-08 11:30:05
TXN00000460,2022-05-08 10:05:21
TXN00000461,2022-05-08 03:13:40
TXN00000462,2022-05-08 15:07:43
TXN00000463,2022-05-08 23:21:58
TXN00000464,2022-05-08 08:00:08
TXN00000465,2022-05-08 01:16:15
TXN00000466,2022-05-08 20:57:52
TXN00000467,2022-05-08 09:33:11
TXN00000468,2022-05-08 15:33:53
TXN00000469,2022-05-08 04:06:00
TXN00000470,2022-05-08 19:21:14
TXN00000471,2022-05-08 01:14:11
TXN00000472,2022-05-08 20:52:14
TXN00000473,2022-05-08 12:55:39
TXN00000474,2022-05-08 20:55:39
TXN00000475,2022-05-08 20:23:50
TXN00000476,2022-05-08 07:24:40
TXN00000477,2022-05-08 04:16:15
TXN00000478,2022-05-08 21:13:53
TXN00000479,2022-05-08 11:34:25
TXN00000480,2022-05-08 00:10:35
TXN00000481,2022-05-08 02:44:26
TXN00000482,2022-05-08 12:59:15
TXN00000483,2022-05-08 15:56:49
TXN00000484,2022-05-08 22:05:59
TXN00000485,2022-05-08 15:04:33
TXN00000486,2022-05-08 04:46:54
TXN00000487,2022-05-08 11:31:55
TXN00000488,2022-05-08 06:40:46
TXN00000489,2022-05-08 18:21:14
TXN00000490,2022-05-08 20:36:45
TXN00000491,2022-05-08 10:48:09
TXN00000492,2022-05-08 04:16:21
TXN00000493,2022-05-08 22:35:22
TXN00000494,2022-05-08 11:25:56
TXN00000495,2022-05-08 03:19:12
TXN00000496,2022-05-08 00:25:18
TXN00000497,2022-05-08 19:47:35
TXN00000498,2022-05-08 22:38:49
TXN00000499,2022-05-08 09:38:17
TXN00000500,2022-05-08 08:56:32
TXN00000501,2022-05-08 00:25:21
TXN00000502,2022-05-08 18:23:41
TXN00000503,2022-05-08 14:26:15
TXN00000504,2022-05-08 11:29:12
TXN00000505,2022-05-08 07:43:37
TXN00000506,2022-05-08 14:42:53
TXN00000507,2022-05-08 13:45:53
TXN00000508,2022-05-08 16:44:45
TXN00000509,2022-05-08 06:03:41
TXN00000510,2022-05-08 12:44:26
TXN00000511,2022-05-08 03:46:59
TXN00000512,2022-05-08 18:02:44
TXN00000513,2022-05-08 05:36:15
TXN00000514,2022-05-08 03:02:41
TXN00000515,2022-05-08 13:34:26
TXN00000516,2022-05-08 15:52:35
TXN00000517,2022-05-08 00:12:52
TXN00000518,2022-05-08 06:26:45
TXN00000519,2022-05-08 05:06:12
TXN00000520,2022-05-08 08:21:49
TXN00000521,2022-05-08 04:53:20
TXN00000522,2022-05-08 13:19:28
TXN00000523,2022-05-08 17:31:47
TXN00000524,2022-05-08 04:46:17
TXN00000525,2022-05-08 02:28:19
TXN00000526,2022-05-08 07:05:43
TXN00000527,2022-05-08 05:53:08
TXN00000528,2022-05-08 19:01:27
TXN00000529,2022-05-08 13:25:23
TXN00000530,2022-05-08 02:35:16
TXN00000531,2022-05-08 17:35:44
TXN00000532,2022-05-08 04:22:48
TXN00000533,2022-05-08 18:16:59
TXN00000534,2022-05-08 01:18:19
TXN00000535,2022-05-08 09:40:30
TXN00000536,2022-05-08 17:42:04
TXN00000537,2022-05-08 22:06:46
TXN00000538,2022-05-08 15:50:10
TXN00000539,2022-05-08 23:39:07
TXN00000540,2022-05-08 11:43:11
TXN00000541,2022-05-08 06:03:02
TXN00000542,2022-05-08 11:22:28
TXN00000543,2022-05-08 06:36:50
TXN00000544,2022-05-08 03:44:11
TXN00000545,2022-05-08 10:16:39
TXN00000546,2022-05-08 17:27:17
TXN00000547,2022-05-08 23:20:15
TXN00000548,2022-05-08 23:16:52
TXN00000549,2022-05-08 16:24:24
TXN00000550,2022-05-08 20:18:31
TXN00000551,2022-05-08 22:00:30
TXN00000552,2022-05-08 22:07:23
TXN00000553,2022-05-08 20:19:37
TXN00000554,2022-05-08 09:59:06
TXN00000555,2022-05-08 20:09:53
TXN00000556,2022-05-08 21:11:55
TXN00000557,2022-05-08 02:10:14
TXN00000558,2022-05-08 18:09:54
TXN00000559,2022-05-08 03:13:16
TXN00000560,2022-05-08 13:31:50
TXN00000561,2022-05-08 17:40:04
TXN00000562,2022-05-08 04:03:34
TXN00000563,2022-05-08 15:36:58
TXN00000564,2022-05-08 00:49:25
TXN00000565,2022-05-08 00:52:47
TXN00000566,2022-05-08 15:58:36
TXN00000567,2022-05-08 11:05:36
TXN00000568,2022-05-08 11:39:21
TXN00000569,2022-05-08 06:46:55
TXN00000570,2022-05-08 15:48:23
TXN00000571,2022-05-08 06:50:33
TXN00000572,2022-05-08 21:16:44
TXN00000573,2022-05-08 15:52:10
TXN00000574,2022-05-08 07:48:14
TXN00000575,2022-05-08 21:26:52
TXN00000576,2022-05-08 13:49:27
TXN00000577,2022-05-08 19:47:37
TXN00000578,2022-05-08 04:24:07
TXN00000579,2022-05-08 23:42:13
TXN00000580,2022-05-08 08:28:38
TXN00000581,2022-05-08 22:51:36
TXN00000582,2022-05-08 15:01:19
TXN00000583,2022-05-08 07:29:53
TXN00000584,2022-05-08 00:11:56
TXN00000585,2022-05-08 11:57:47
TXN00000586,2022-05-08 08:59:48
TXN00000587,2022-05-08 06:04:50
TXN00000588,2022-05-08 17:52:12
TXN00000589,2022-05-08 23:16:02
TXN00000590,2022-05-08 11:43:59
TXN00000591,2022-05-08 03:12:09
TXN00000592,2022-05-08 23:51:35
TXN00000593,2022-05-08 13:36:16
TXN00000594,2022-05-08 10:35:48
TXN00000595,2022-05-08 19:12:35
TXN00000596,2022-05-08 21:57:56
TXN00000597,2022-05-08 11:34:22
TXN00000598,2022-05-08 15:16:18
TXN00000599,2022-05-08 10:23:09
TXN00000600,2022-05-08 07:22:55
TXN00000601,2022-05-08 00:47:58
TXN00000602,2022-05-08 07:44:47
TXN00000603,2022-05-08 14:56:01
TXN00000604,2022-05-08 05:31:33
TXN00000605,2022-05-08 13:40:30
TXN00000606,2022-05-08 08:37:23
TXN00000607,2022-05-08 13:39:27
TXN00000608,2022-05-08 11:36:06
TXN00000609,2022-05-08 05:13:52
TXN00000610,2022-05-08 09:10:24
TXN00000611,2022-05-08 19:41:23
TXN00000612,2022-05-08 21:35:44
TXN00000613,2022-05-08 05:26:49
TXN00000614,2022-05-08 02:24:16
TXN00000615,2022-05-08 16:43:33
TXN00000616,2022-05-08 09:13:05
TXN00000617,2022-05-08 17:26:49
TXN00000618,2022-05-08 23:37:54
TXN00000619,2022-05-08 21:06:21
TXN00000620,2022-05-08 13:33:49
TXN00000621,2022-05-08 23:00:01
TXN00000622,2022-05-08 17:32:42
TXN00000623,2022-05-08 08:12:13
TXN00000624,2022-05-08 12:45:13
TXN00000625,2022-05-08 16:42:03
TXN00000626,2022-05-08 13:07:27
TXN00000627,2022-05-08 23:17:36
TXN00000628,2022-05-08 15:18:09
TXN00000629,2022-05-08 22:45:31
TXN00000630,2022-05-08 03:01:26
TXN00000631,2022-05-08 07:07:12
TXN00000632,2022-05-08 01:16:06
TXN00000633,2022-05-08 16:38:05
TXN00000634,2022-05-08 23:08:44
TXN00000635,2022-05-08 13:01:41
TXN00000636,2022-05-08 05:05:07
TXN00000637,2022-05-08 23:38:08
TXN00000638,2022-05-08 09:38:24
TXN00000639,2022-05-08 02:02:15
TXN00000640,2022-05-08 10:52:07
TXN00000641,2022-05-08 21:02:27
TXN00000642,2022-05-08 08:16:16
TXN00000643,2022-05-08 06:42:27
TXN00000644,2022-05-08 11:28:37
TXN00000645,2022-05-08 01:48:14
TXN00000646,2022-05-08 14:15:17
TXN00000647,2022-05-08 05:19:50
TXN00000648,2022-05-08 15:43:45
TXN00000649,2022-05-08 00:26:01
TXN00000650,2022-05-08 20:41:48
TXN00000651,2022-05-08 08:32:52
TXN00000652,2022-05-08 15:14:33
TXN00000653,2022-05-08 11:48:32
TXN00000654,2022-05-08 00:00:06
TXN00000655,2022-05-08 21:43:27
TXN00000656,2022-05-08 14:37:53
TXN00000657,2022-05-08 03:40:29
TXN00000658,2022-05-08 00:04:25
TXN00000659,2022-05-08 16:10:06
TXN00000660,2022-05-08 03:12:44
TXN00000661,2022-05-08 04:03:34
TXN00000662,2022-05-08 07:52:46
TXN00000663,2022-05-08 23:01:13
TXN00000664,2022-05-08 03:25:41
TXN00000665,2022-05-08 20:20:06
TXN00000666,2022-05-08 10:41:22
TXN00000667,2022-05-08 03:08:37
TXN00000668,2022-05-08 01:39:05
TXN00000669,2022-05-08 19:24:05
TXN00000670,2022-05-08 01:03:20
TXN00000671,2022-05-08 19:30:05
TXN00000672,2022-05-08 20:49:12
TXN00000673,2022-05-08 22:45:32
TXN00000674,2022-05-08 06:57:39
TXN00000675,2022-05-08 20:56:36
TXN00000676,2022-05-08 12:36:20
TXN00000677,2022-05-08 02:02:08
TXN00000678,2022-05-08 02:02:35
TXN00000679,2022-05-08 05:38:42
TXN00000680,2022-05-08 12:25:29
TXN00000681,2022-05-08 10:53:16
TXN00000682,2022-05-08 20:58:01
TXN00000683,2022-05-08 07:18:11
TXN00000684,2022-05-08 22:55:47
TXN00000685,2022-05-08 00:02:18
TXN00000686,2022-05-08 15:34:48
TXN00000687,2022-05-08 06:42:24
TXN00000688,2022-05-08 08:59:49
TXN00000689,2022-05-08 19:00:44
TXN00000690,2022-05-08 13:37:57
TXN00000691,2022-05-08 17:09:01
TXN00000692,2022-05-08 16:53:37
TXN00000693,2022-05-08 18:20:17
TXN00000694,2022-05-08 20:53:27
TXN00000695,2022-05-08 02:54:16
TXN00000696,2022-05-08 02:11:35
TXN00000697,2022-05-08 23:17:12
