TRANSACTION_ID,TXN_DATE_TIME,LOSS_DT,REPORT_DT,PREMIUM_AMOUNT,CLAIM_AMOUNT,TENURE,AGENT_ID,VENDOR_ID,CUSTOMER_ID
TXN00000110,6/4/2020 0:00,5/20/2020,5/25/2020,96.33,2000,54,AGENT00491,VNDR00233,A00005653
TXN00000111,6/4/2020 0:00,5/19/2020,5/24/2020,9.58,600,84,AGENT01181,VNDR00170,A00007305
TXN00000112,6/4/2020 0:00,5/20/2020,5/25/2020,134.55,6000,51,AGENT00028,VNDR00423,A00001480
TXN00000113,6/4/2020 0:00,5/16/2020,5/21/2020,107.72,3000,27,AGENT00383,VNDR00197,A00004702
TXN00000114,6/4/2020 0:00,5/15/2020,5/20/2020,189.17,10000,11,AGENT00438,VNDR00197,A00001148
TXN00000115,6/4/2020 0:00,5/22/2020,5/27/2020,61.14,3000,63,AGENT00969,VNDR00197,A00002262
TXN00000116,6/4/2020 0:00,5/21/2020,5/26/2020,8.41,100,72,AGENT00694,VNDR00375,A00003291
TXN00000117,6/4/2020 0:00,5/26/2020,5/29/2020,82.01,100000,56,AGENT01193,VNDR00117,A00008706
TXN00000118,6/4/2020 0:00,5/21/2020,5/26/2020,116.87,21000,60,AGENT00353,VNDR00197,A00004966
TXN00000119,6/4/2020 0:00,5/31/2020,6/1/2020,6.19,700,43,AGENT00382,VNDR00197,A00001137
TXN00000120,6/4/2020 0:00,5/29/2020,5/31/2020,95.96,4000,32,AGENT00391,VNDR00313,A00000013
TXN00000121,6/4/2020 0:00,5/22/2020,5/27/2020,56.22,97000,51,AGENT00861,VNDR00256,A00000875
TXN00000122,6/4/2020 0:00,5/19/2020,5/24/2020,10.22,700,107,AGENT00476,VNDR00197,A00001718
TXN00000123,6/5/2020 0:00,5/31/2020,6/1/2020,139.5,15000,40,AGENT01038,VNDR00197,A00002165
TXN00000124,6/5/2020 0:00,5/24/2020,5/29/2020,59.16,4000,36,AGENT00280,VNDR00293,A00003051
TXN00000125,6/5/2020 0:00,6/3/2020,6/3/2020,74.25,86000,54,AGENT00280,VNDR00591,A00009892
TXN00000126,6/5/2020 0:00,5/18/2020,5/23/2020,51.12,36000,46,AGENT01006,VNDR00519,A00004106
TXN00000127,6/5/2020 0:00,5/20/2020,5/25/2020,52.71,43000,35,AGENT01114,VNDR00280,A00005034
TXN00000128,6/5/2020 0:00,5/26/2020,5/29/2020,111.08,5000,119,AGENT00050,VNDR00183,A00008198
TXN00000129,6/5/2020 0:00,5/16/2020,5/21/2020,120.86,39000,97,AGENT00226,VNDR00599,A00000548
TXN00000130,6/5/2020 0:00,5/18/2020,5/23/2020,53.86,92000,50,AGENT00460,VNDR00517,A00006478
TXN00000131,6/5/2020 0:00,5/17/2020,5/22/2020,10.39,300,106,AGENT01109,VNDR00197,A00000815
TXN00000132,6/5/2020 0:00,5/18/2020,5/23/2020,91.56,5000,41,AGENT00271,VNDR00197,A00004559
TXN00000133,6/5/2020 0:00,5/23/2020,5/28/2020,140.85,13000,52,AGENT01085,VNDR00348,A00002441
TXN00000134,6/5/2020 0:00,6/3/2020,6/3/2020,64.31,4000,16,AGENT01013,VNDR00197,A00005228
TXN00000135,6/5/2020 0:00,5/26/2020,5/29/2020,68.83,5000,12,AGENT00879,VNDR00197,A00008944
TXN00000136,6/5/2020 0:00,5/24/2020,5/29/2020,59.33,3000,51,AGENT00088,VNDR00496,A00005880
TXN00000137,6/5/2020 0:00,5/31/2020,6/1/2020,129.58,4000,93,AGENT01100,VNDR00423,A00002413
TXN00000138,6/5/2020 0:00,5/30/2020,6/1/2020,11.46,100,55,AGENT00341,VNDR00548,A00001701
TXN00000139,6/5/2020 0:00,5/31/2020,6/1/2020,6.75,200,14,AGENT01049,VNDR00197,A00000834
TXN00000140,6/5/2020 0:00,5/31/2020,6/1/2020,121.26,3000,96,AGENT00639,VNDR00375,A00002597
TXN00000141,6/5/2020 0:00,5/16/2020,5/21/2020,188.54,17000,67,AGENT00929,VNDR00583,A00007505
TXN00000142,6/5/2020 0:00,5/31/2020,6/1/2020,105.82,31000,63,AGENT01177,VNDR00600,A00004164
TXN00000143,6/5/2020 0:00,5/19/2020,5/24/2020,7.6,100,22,AGENT00394,VNDR00075,A00005342
TXN00000144,6/5/2020 0:00,5/29/2020,5/31/2020,6.08,200,88,AGENT00976,VNDR00313,A00009809
TXN00000145,6/6/2020 0:00,6/2/2020,6/3/2020,147.74,11000,68,AGENT00518,VNDR00200,A00002956
TXN00000146,6/6/2020 0:00,5/27/2020,5/30/2020,6.91,100,101,AGENT01066,VNDR00197,A00004012
TXN00000147,6/6/2020 0:00,5/19/2020,5/24/2020,70.03,39000,28,AGENT00648,VNDR00137,A00000949
TXN00000148,6/6/2020 0:00,5/23/2020,5/28/2020,129.39,29000,86,AGENT00137,VNDR00042,A00001650
TXN00000149,6/6/2020 0:00,5/23/2020,5/28/2020,56.73,5000,59,AGENT00092,VNDR00197,A00005704
TXN00000150,6/6/2020 0:00,5/23/2020,5/28/2020,67.5,34000,104,AGENT00345,VNDR00430,A00002776
TXN00000151,6/6/2020 0:00,5/21/2020,5/26/2020,91.55,28000,101,AGENT00168,VNDR00412,A00002079
TXN00000152,6/6/2020 0:00,5/22/2020,5/27/2020,135.82,16000,9,AGENT00391,VNDR00292,A00005318
TXN00000153,6/6/2020 0:00,5/18/2020,5/23/2020,7.21,500,78,AGENT01074,VNDR00586,A00007732
TXN00000154,6/6/2020 0:00,5/27/2020,5/30/2020,6.79,300,68,AGENT00235,VNDR00404,A00004626
TXN00000155,6/6/2020 0:00,6/5/2020,6/5/2020,80.73,4000,9,AGENT00468,VNDR00093,A00000211
TXN00000156,6/6/2020 0:00,5/26/2020,5/31/2020,124.56,8000,93,AGENT00031,VNDR00197,A00007341
TXN00000157,6/6/2020 0:00,5/21/2020,5/26/2020,117.59,34000,38,AGENT00855,VNDR00197,A00008591
TXN00000158,6/6/2020 0:00,6/4/2020,6/4/2020,124.28,33000,91,AGENT01017,VNDR00215,A00008052
TXN00000159,6/6/2020 0:00,5/19/2020,5/24/2020,123.41,24000,25,AGENT00929,VNDR00094,A00008942
TXN00000160,6/6/2020 0:00,6/1/2020,6/2/2020,121.92,20000,29,AGENT00889,VNDR00397,A00003149
TXN00000161,6/6/2020 0:00,5/18/2020,5/23/2020,55.99,90000,112,AGENT00163,VNDR00197,A00005805
TXN00000162,6/6/2020 0:00,5/18/2020,5/23/2020,187.72,1000,85,AGENT00568,VNDR00197,A00009530
TXN00000163,6/6/2020 0:00,6/2/2020,6/3/2020,146.79,32000,90,AGENT00929,VNDR00197,A00006830
TXN00000164,6/6/2020 0:00,5/20/2020,5/25/2020,120.07,33000,68,AGENT00194,VNDR00197,A00007160
TXN00000165,6/6/2020 0:00,5/19/2020,5/24/2020,129.97,15000,20,AGENT00696,VNDR00482,A00001553
TXN00000166,6/6/2020 0:00,5/23/2020,5/28/2020,110.4,1000,88,AGENT00427,VNDR00153,A00001756
TXN00000167,6/6/2020 0:00,5/27/2020,5/30/2020,6.76,300,65,AGENT00552,VNDR00197,A00002923
TXN00000168,6/6/2020 0:00,6/1/2020,6/2/2020,9.49,700,114,AGENT00437,VNDR00456,A00009221
TXN00000169,6/6/2020 0:00,5/31/2020,6/2/2020,11.87,400,107,AGENT00299,VNDR00077,A00003698
TXN00000170,6/6/2020 0:00,5/26/2020,5/31/2020,109.65,17000,112,AGENT00038,VNDR00197,A00000190
TXN00000171,6/6/2020 0:00,6/3/2020,6/3/2020,164.79,8000,100,AGENT00781,VNDR00197,A00002764
TXN00000172,6/6/2020 0:00,5/17/2020,5/22/2020,133.52,13000,52,AGENT01020,VNDR00197,A00009590
TXN00000173,6/6/2020 0:00,5/28/2020,5/31/2020,9.69,300,36,AGENT00297,VNDR00197,A00006417
TXN00000174,6/6/2020 0:00,6/5/2020,6/5/2020,11.11,100,22,AGENT00933,VNDR00310,A00001503
TXN00000175,6/6/2020 0:00,5/21/2020,5/26/2020,89.74,99000,67,AGENT00646,VNDR00197,A00003922
TXN00000176,6/6/2020 0:00,5/30/2020,6/1/2020,79.9,5000,93,AGENT00388,VNDR00060,A00006105
TXN00000177,6/6/2020 0:00,6/3/2020,6/3/2020,140.37,5000,87,AGENT00905,VNDR00197,A00003613
TXN00000178,6/7/2020 0:00,5/26/2020,5/31/2020,79.18,2000,94,AGENT00730,VNDR00076,A00002426
TXN00000179,6/7/2020 0:00,6/6/2020,6/6/2020,85.43,4000,75,AGENT00588,VNDR00555,A00006998
TXN00000180,6/7/2020 0:00,6/5/2020,6/5/2020,112.42,4000,14,AGENT00523,VNDR00251,A00000105
TXN00000181,6/7/2020 0:00,5/26/2020,5/31/2020,10.57,300,76,AGENT01176,VNDR00197,A00001637
TXN00000182,6/7/2020 0:00,6/3/2020,6/4/2020,6.37,300,15,AGENT00294,VNDR00109,A00009848
TXN00000183,6/7/2020 0:00,5/29/2020,6/1/2020,61.5,38000,114,AGENT01106,VNDR00156,A00009288
TXN00000184,6/7/2020 0:00,6/5/2020,6/5/2020,10.6,400,79,AGENT00757,VNDR00470,A00000247
TXN00000185,6/7/2020 0:00,5/31/2020,6/2/2020,183.13,12000,43,AGENT00543,VNDR00429,A00002397
TXN00000186,6/7/2020 0:00,5/25/2020,5/30/2020,111.63,17000,52,AGENT00771,VNDR00211,A00007490
TXN00000187,6/7/2020 0:00,5/19/2020,5/24/2020,115.92,15000,28,AGENT00266,VNDR00019,A00003706
TXN00000188,6/7/2020 0:00,5/20/2020,5/25/2020,98.83,10000,10,AGENT01078,VNDR00197,A00004550
TXN00000189,6/7/2020 0:00,6/6/2020,6/6/2020,10.52,700,19,AGENT01097,VNDR00407,A00003203
TXN00000190,6/7/2020 0:00,6/3/2020,6/4/2020,149.71,30000,84,AGENT00290,VNDR00382,A00009674
TXN00000191,6/7/2020 0:00,5/26/2020,5/31/2020,7.79,500,43,AGENT00550,VNDR00350,A00003347
TXN00000192,6/7/2020 0:00,6/1/2020,6/3/2020,141.85,29000,89,AGENT00383,VNDR00197,A00006280
TXN00000193,6/7/2020 0:00,6/2/2020,6/3/2020,96.15,5000,110,AGENT00385,VNDR00197,A00009398
TXN00000194,6/7/2020 0:00,6/4/2020,6/4/2020,94.3,15000,84,AGENT00877,VNDR00197,A00009338
TXN00000195,6/7/2020 0:00,5/23/2020,5/28/2020,53.44,4000,11,AGENT00922,VNDR00278,A00007501
TXN00000196,6/7/2020 0:00,5/29/2020,6/1/2020,135.07,32000,108,AGENT00176,VNDR00275,A00007905
TXN00000197,6/7/2020 0:00,6/5/2020,6/5/2020,145.92,11000,41,AGENT00739,VNDR00279,A00008439
TXN00000198,6/7/2020 0:00,5/30/2020,6/2/2020,148.66,16000,11,AGENT01194,VNDR00197,A00007899
TXN00000199,6/7/2020 0:00,5/18/2020,5/23/2020,130.11,13000,20,AGENT00613,VNDR00197,A00006248
TXN00000200,6/7/2020 0:00,5/28/2020,5/31/2020,9.68,400,91,AGENT00704,VNDR00083,A00000192
TXN00000201,6/7/2020 0:00,5/27/2020,6/1/2020,87.89,2000,118,AGENT01072,VNDR00197,A00002575
TXN00000202,6/7/2020 0:00,5/22/2020,5/27/2020,57.47,1000,117,AGENT00086,VNDR00305,A00004102
TXN00000203,6/7/2020 0:00,5/27/2020,6/1/2020,69.5,35000,97,AGENT00296,VNDR00083,A00007873
TXN00000204,6/7/2020 0:00,6/2/2020,6/3/2020,83.46,99000,24,AGENT00837,VNDR00594,A00004611
TXN00000205,6/7/2020 0:00,5/28/2020,5/31/2020,7.92,400,22,AGENT00788,VNDR00540,A00006492
TXN00000206,6/7/2020 0:00,6/1/2020,6/3/2020,71.18,7000,21,AGENT01015,VNDR00365,A00003531
TXN00000207,6/7/2020 0:00,6/6/2020,6/6/2020,181.29,6000,59,AGENT00319,VNDR00197,A00000149
TXN00000208,6/8/2020 0:00,5/31/2020,6/3/2020,91.27,2000,86,AGENT00688,VNDR00003,A00005638
TXN00000209,6/8/2020 0:00,5/30/2020,6/2/2020,82.11,2000,111,AGENT00907,VNDR00269,A00006076
TXN00000210,6/8/2020 0:00,6/7/2020,6/7/2020,78.65,3000,14,AGENT00226,VNDR00197,A00009990
TXN00000211,6/8/2020 0:00,6/6/2020,6/6/2020,65.44,4000,100,AGENT00274,VNDR00197,A00002513
TXN00000212,6/8/2020 0:00,5/30/2020,6/2/2020,80.75,16000,80,AGENT00244,VNDR00197,A00009734
TXN00000213,6/8/2020 0:00,5/26/2020,5/31/2020,95.58,5000,77,AGENT00227,VNDR00461,A00005658
TXN00000214,6/8/2020 0:00,5/21/2020,5/26/2020,88.24,4000,13,AGENT00921,VNDR00197,A00006794
TXN00000215,6/8/2020 0:00,5/21/2020,5/26/2020,106.79,17000,56,AGENT00711,VNDR00197,A00001870
TXN00000216,6/8/2020 0:00,5/26/2020,5/31/2020,97.11,12000,90,AGENT00426,VNDR00197,A00009682
TXN00000217,6/8/2020 0:00,5/29/2020,6/1/2020,151.43,13000,72,AGENT00557,VNDR00197,A00009547
TXN00000218,6/8/2020 0:00,6/5/2020,6/5/2020,74.48,11000,16,AGENT00475,VNDR00192,A00004091
TXN00000219,6/8/2020 0:00,6/6/2020,6/6/2020,116.93,15000,104,AGENT00969,VNDR00247,A00004782
TXN00000220,6/8/2020 0:00,5/28/2020,6/2/2020,60.07,45000,53,AGENT00093,VNDR00447,A00005061
TXN00000221,6/8/2020 0:00,5/20/2020,5/25/2020,190.93,1000,12,AGENT00162,VNDR00395,A00000704
TXN00000222,6/8/2020 0:00,5/20/2020,5/25/2020,111.07,19000,115,AGENT00322,VNDR00417,A00007999
TXN00000223,6/8/2020 0:00,5/24/2020,5/29/2020,119.13,13000,84,AGENT00601,VNDR00197,A00009037
TXN00000224,6/8/2020 0:00,6/6/2020,6/6/2020,76.13,3000,73,AGENT00709,VNDR00197,A00004253
TXN00000225,6/8/2020 0:00,5/27/2020,6/1/2020,8.51,500,46,AGENT00917,VNDR00197,A00007386
TXN00000226,6/9/2020 0:00,5/24/2020,5/29/2020,118.33,7000,73,AGENT00395,VNDR00168,A00003800
TXN00000227,6/9/2020 0:00,5/23/2020,5/28/2020,137.68,15000,49,AGENT00739,VNDR00132,A00008730
TXN00000228,6/9/2020 0:00,5/31/2020,6/3/2020,98.28,49000,108,AGENT00242,VNDR00083,A00006834
TXN00000229,6/9/2020 0:00,5/24/2020,5/29/2020,111.12,34000,91,AGENT00129,VNDR00216,A00003354
TXN00000230,6/9/2020 0:00,5/24/2020,5/29/2020,92.14,1000,22,AGENT00063,VNDR00153,A00009382
